DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Arrest,LarcenyCode,ObjectID
2019/01/10 00:00:00+00,0127,0127,600 S  GEDDES ST     ,ROBBERY,Yes,All Other,137
2019/01/10 00:00:00+00,1630,1630,700 N  CLINTON ST     ,LARCENY,,All Other,138
2019/01/10 00:00:00+00,1741,1741,800 JAMES ST     ,ROBBERY,,All Other,139
2019/01/11 00:00:00+00,1915,1915,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,140
2019/01/11 00:00:00+00,1910,1910,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,141
2019/01/11 00:00:00+00,1200,1130,100 ELMWOOD AV     ,LARCENY,,From Motor Vehicle,142
2019/01/11 00:00:00+00,0700,2300,100 LINWILL TER    ,BURGLARY,,All Other,143
2019/01/11 00:00:00+00,1255,1255,200 DELHI ST     ,BURGLARY,,From Building,144
2019/01/11 00:00:00+00,1100,1755,200 WAVERLY AV     ,LARCENY,,Of Bicycle,145
2019/01/11 00:00:00+00,1600,0900,300 S  SALINA ST     ,BURGLARY,,From Building,146
2019/01/11 00:00:00+00,0800,0810,300 SHIRLEY DR     ,MV THEFT,,Motor Vehicle,147
2019/01/11 00:00:00+00,1800,1800,700 IVY RIDGE RD     ,LARCENY,,From Motor Vehicle,148
2019/01/12 00:00:00+00,1325,1325,1 DESTINY USA DR,LARCENY,,Shoplifting,149
2019/01/12 00:00:00+00,1830,2030,1 DESTINY USA DR,MV THEFT,,All Other,150
2019/01/12 00:00:00+00,1755,1755,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,151
2019/01/12 00:00:00+00,1201,1259,100 E  ONONDAGA ST     ,LARCENY,,All Other,152
2019/01/12 00:00:00+00,1520,1521,1300 E  COLVIN ST     ,LARCENY,,All Other,153
2019/01/12 00:00:00+00,1250,1250,1700 VALLEY DR     ,BURGLARY,,N/A,154
2019/01/12 00:00:00+00,1500,1500,200 E  COLVIN ST     ,MV THEFT,,Motor Vehicle,155
