X,Y,OBJECTID,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,ARREST
-8476381.99482139,5318133.21447881,1315,2018/05/15,1500,1525,100 DABLON CT,LARCENY,
-8477318.7484171,5317351.89394943,1316,2018/05/15,1800,0700,200 CORTLAND AV,LARCENY,
-8478101.15780924,5316806.99079227,1317,2018/04/09,1431,1431,300 HUDSON ST,BURGLARY,
-8475301.97314947,5319282.01125634,1318,2018/05/15,1815,1815,300 UNIVERSITY PL,LARCENY,
-8477620.27808543,5324159.55625422,1319,2018/04/09,1235,1235,100 SIXTH NORTH ST,BURGLARY,
-8477528.64128159,5321606.08336485,1320,2018/05/15,1021,1021,900 S  SALINA ST,LARCENY,
-8476712.42021764,5318705.81946985,1321,2018/04/08,0700,1030,800 S  STATE ST,LARCENY,
-8477567.71444155,5312688.63228253,1322,2018/05/16,2300,0530,100 SMITH LN,BURGLARY,
-8481468.5163233,5319053.0630821,1323,2018/05/16,0000,0815,200 AVERY AV,LARCENY,
-8477199.02419886,5319753.63453282,1324,2018/05/16,0100,1700,100 N  SALINA ST,LARCENY,
-8476209.72286017,5315130.56233398,1325,2018/04/08,1800,1800,100 W  BRIGHTON AV,BURGLARY,
-8476205.0077611,5315112.3183277,1326,2018/04/09,2026,2026,2800 S  SALINA ST,LARCENY,
-8471936.17269858,5321375.70695715,1327,2018/05/16,1717,1717,400 N  MIDLER AV,AGGRAVATED ASSAULT,
-8481384.14477814,5320533.2150684,1328,2018/04/09,1800,0630,800 EMERSON AV,LARCENY,
-8474563.59099058,5316985.92954899,1329,2018/05/17,0950,0950,100 CIRCLE RD,LARCENY,
-8476159.73456959,5313311.87873787,1330,2018/04/09,1618,1618,4100 S  SALINA ST,LARCENY,
-8478179.30585701,5314902.55825252,1331,2018/04/10,1200,0800,1900 SOUTH AV,BURGLARY,
-8476099.38816618,5318467.06109584,1332,2018/04/09,0001,0100,700 E  ADAMS ST,MV THEFT,
-8473863.78102803,5319094.19106887,1333,2018/05/17,0027,0027,300 COLUMBUS AV,AGGRAVATED ASSAULT,
-8476159.73456959,5313311.87873787,1334,2018/04/09,1852,1852,4100 S  SALINA ST,LARCENY,
-8479211.41180607,5317176.51813692,1335,2018/04/10,1200,1200,1100 ONONDAGA AV,MV THEFT,
-8475785.30204006,5321315.65573908,1336,2018/04/10,1730,0730,300 BEECHER ST,LARCENY,
-8473490.58234563,5320773.73857337,1337,2018/05/17,1145,1145,600 ROBINSON ST,LARCENY,
-8475723.67345571,5321218.36307961,1338,2018/04/10,2109,2109,400 DOUGLAS ST,AGGRAVATED ASSAULT,
